"county","cbsa10","cbsatype10","cntyname","cbsaname10","pop10","afact"
"county","cbsa10","cbsatype10","cntyname","2010 CBSA Name","Total Pop, 2010 census","county to cbsatype10 alloc factor"
"05019","11660","Micro","Clark AR","Arkadelphia, AR Micropolitan Statistical Area",22995,1 
"05021","99999"," ","Clay AR","99999",16083,1 
"05023","99999"," ","Cleburne AR","99999",25970,1 
"05025","38220","Metro","Cleveland AR","Pine Bluff, AR Metropolitan Statistical Area",8689,1 
"05027","31620","Micro","Columbia AR","Magnolia, AR Micropolitan Statistical Area",24552,1 
"05029","99999"," ","Conway AR","99999",21273,1 
"05031","27860","Metro","Craighead AR","Jonesboro, AR Metropolitan Statistical Area",96443,1 
"05033","22900","Metro","Crawford AR","Fort Smith, AR-OK Metropolitan Statistical Area",61948,1 
"05035","32820","Metro","Crittenden AR","Memphis, TN-MS-AR Metropolitan Statistical Area",50902,1 
"05037","99999"," ","Cross AR","99999",17870,1 
"05039","99999"," ","Dallas AR","99999",8116,1 
"05041","99999"," ","Desha AR","99999",13008,1 
"05043","99999"," ","Drew AR","99999",18509,1 
"05045","30780","Metro","Faulkner AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",113237,1 
"05047","22900","Metro","Franklin AR","Fort Smith, AR-OK Metropolitan Statistical Area",18125,1 
"05049","99999"," ","Fulton AR","99999",12245,1 
"05051","26300","Metro","Garland AR","Hot Springs, AR Metropolitan Statistical Area",96024,1 
"05053","30780","Metro","Grant AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",17853,1 
"05055","37500","Micro","Greene AR","Paragould, AR Micropolitan Statistical Area",42090,1 
"05057","26260","Micro","Hempstead AR","Hope, AR Micropolitan Statistical Area",22609,1 
"05059","99999"," ","Hot Spring AR","99999",32923,1 
"05061","99999"," ","Howard AR","99999",13789,1 
"05063","12900","Micro","Independence AR","Batesville, AR Micropolitan Statistical Area",36647,1 
"05065","99999"," ","Izard AR","99999",13696,1 
"05067","99999"," ","Jackson AR","99999",17997,1 
"05069","38220","Metro","Jefferson AR","Pine Bluff, AR Metropolitan Statistical Area",77435,1 
"05071","99999"," ","Johnson AR","99999",25540,1 
"05073","99999"," ","Lafayette AR","99999",7645,1 
"05075","99999"," ","Lawrence AR","99999",17415,1 
"05077","99999"," ","Lee AR","99999",10424,1 
"05079","38220","Metro","Lincoln AR","Pine Bluff, AR Metropolitan Statistical Area",14134,1 
"05081","99999"," ","Little River AR","99999",13171,1 
"05083","99999"," ","Logan AR","99999",22353,1 
"05085","30780","Metro","Lonoke AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",68356,1 
"05087","22220","Metro","Madison AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",15717,1 
"05089","99999"," ","Marion AR","99999",16653,1 
"05091","45500","Metro","Miller AR","Texarkana, TX-Texarkana, AR Metropolitan Statistical Area",43462,1 
"05093","14180","Micro","Mississippi AR","Blytheville, AR Micropolitan Statistical Area",46480,1 
"05095","99999"," ","Monroe AR","99999",8149,1 
"05097","99999"," ","Montgomery AR","99999",9487,1 
"05099","26260","Micro","Nevada AR","Hope, AR Micropolitan Statistical Area",8997,1 
"05101","25460","Micro","Newton AR","Harrison, AR Micropolitan Statistical Area",8330,1 
"05103","15780","Micro","Ouachita AR","Camden, AR Micropolitan Statistical Area",26120,1 
"05105","30780","Metro","Perry AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",10445,1 
"05107","25760","Micro","Phillips AR","Helena-West Helena, AR Micropolitan Statistical Area",21757,1 
"05109","99999"," ","Pike AR","99999",11291,1 
"05111","27860","Metro","Poinsett AR","Jonesboro, AR Metropolitan Statistical Area",24583,1 
"05113","99999"," ","Polk AR","99999",20662,1 
"05115","40780","Micro","Pope AR","Russellville, AR Micropolitan Statistical Area",61754,1 
"05117","99999"," ","Prairie AR","99999",8715,1 
"05119","30780","Metro","Pulaski AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",382748,1 
"05121","99999"," ","Randolph AR","99999",17969,1 
"05123","22620","Micro","St. Francis AR","Forrest City, AR Micropolitan Statistical Area",28258,1 
"05125","30780","Metro","Saline AR","Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",107118,1 
"05127","99999"," ","Scott AR","99999",11233,1 
"05129","99999"," ","Searcy AR","99999",8195,1 
"05131","22900","Metro","Sebastian AR","Fort Smith, AR-OK Metropolitan Statistical Area",125744,1 
"05133","99999"," ","Sevier AR","99999",17058,1 
"05135","99999"," ","Sharp AR","99999",17264,1 
"05137","99999"," ","Stone AR","99999",12394,1 
"05139","20980","Micro","Union AR","El Dorado, AR Micropolitan Statistical Area",41639,1 
"05141","99999"," ","Van Buren AR","99999",17295,1 
"05143","22220","Metro","Washington AR","Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",203065,1 
"05145","42620","Micro","White AR","Searcy, AR Micropolitan Statistical Area",77076,1 
"05147","99999"," ","Woodruff AR","99999",7260,1 
"05149","40780","Micro","Yell AR","Russellville, AR Micropolitan Statistical Area",22185,1 
"06001","41860","Metro","Alameda CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",1510271,1 
"06003","99999"," ","Alpine CA","99999",1175,1 
"06005","99999"," ","Amador CA","99999",38091,1 
"06007","17020","Metro","Butte CA","Chico, CA Metropolitan Statistical Area",220000,1 
"06009","99999"," ","Calaveras CA","99999",45578,1 
"06011","99999"," ","Colusa CA","99999",21419,1 
"06013","41860","Metro","Contra Costa CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",1049025,1 
"06015","18860","Micro","Del Norte CA","Crescent City, CA Micropolitan Statistical Area",28610,1 
"06017","40900","Metro","El Dorado CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",181058,1 
"06019","23420","Metro","Fresno CA","Fresno, CA Metropolitan Statistical Area",930450,1 
"06021","99999"," ","Glenn CA","99999",28122,1 
"06023","21700","Micro","Humboldt CA","Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",134623,1 
"06025","20940","Metro","Imperial CA","El Centro, CA Metropolitan Statistical Area",174528,1 
"06027","13860","Micro","Inyo CA","Bishop, CA Micropolitan Statistical Area",18546,1 
"06029","12540","Metro","Kern CA","Bakersfield-Delano, CA Metropolitan Statistical Area",839631,1 
"06031","25260","Metro","Kings CA","Hanford-Corcoran, CA Metropolitan Statistical Area",152982,1 
"06033","17340","Micro","Lake CA","Clearlake, CA Micropolitan Statistical Area",64665,1 
"06035","45000","Micro","Lassen CA","Susanville, CA Micropolitan Statistical Area",34895,1 
"06037","31100","Metro","Los Angeles CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",9818605,1 
"06039","31460","Metro","Madera CA","Madera-Chowchilla, CA Metropolitan Statistical Area",150865,1 
"06041","41860","Metro","Marin CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",252409,1 
"06043","99999"," ","Mariposa CA","99999",18251,1 
"06045","46380","Micro","Mendocino CA","Ukiah, CA Micropolitan Statistical Area",87841,1 
"06047","32900","Metro","Merced CA","Merced, CA Metropolitan Statistical Area",255793,1 
"06049","99999"," ","Modoc CA","99999",9686,1 
"06051","99999"," ","Mono CA","99999",14202,1 
"06053","41500","Metro","Monterey CA","Salinas, CA Metropolitan Statistical Area",415057,1 
"06055","34900","Metro","Napa CA","Napa, CA Metropolitan Statistical Area",136484,1 
"06057","46020","Micro","Nevada CA","Truckee-Grass Valley, CA Micropolitan Statistical Area",98764,1 
"06059","31100","Metro","Orange CA","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",3010232,1 
"06061","40900","Metro","Placer CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",348432,1 
"06063","99999"," ","Plumas CA","99999",20007,1 
"06065","40140","Metro","Riverside CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",2189641,1 
"06067","40900","Metro","Sacramento CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",1418788,1 
"06069","41940","Metro","San Benito CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",55269,1 
"06071","40140","Metro","San Bernardino CA","Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",2035210,1 
"06073","41740","Metro","San Diego CA","San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",3095313,1 
"06075","41860","Metro","San Francisco CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",805235,1 
"06077","44700","Metro","San Joaquin CA","Stockton, CA Metropolitan Statistical Area",685306,1 
"06079","42020","Metro","San Luis Obispo CA","San Luis Obispo-Paso Robles, CA Metropolitan Statistical Area",269637,1 
"06081","41860","Metro","San Mateo CA","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",718451,1 
"06083","42060","Metro","Santa Barbara CA","Santa Barbara-Santa Maria-Goleta, CA Metropolitan Statistical Area",423895,1 
"06085","41940","Metro","Santa Clara CA","San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",1781642,1 
"06087","42100","Metro","Santa Cruz CA","Santa Cruz-Watsonville, CA Metropolitan Statistical Area",262382,1 
"06089","39820","Metro","Shasta CA","Redding, CA Metropolitan Statistical Area",177223,1 
"06091","99999"," ","Sierra CA","99999",3240,1 
"06093","99999"," ","Siskiyou CA","99999",44900,1 
"06095","46700","Metro","Solano CA","Vallejo-Fairfield, CA Metropolitan Statistical Area",413344,1 
"06097","42220","Metro","Sonoma CA","Santa Rosa-Petaluma, CA Metropolitan Statistical Area",483878,1 
"06099","33700","Metro","Stanislaus CA","Modesto, CA Metropolitan Statistical Area",514453,1 
"06101","49700","Metro","Sutter CA","Yuba City, CA Metropolitan Statistical Area",94737,1 
"06103","39780","Micro","Tehama CA","Red Bluff, CA Micropolitan Statistical Area",63463,1 
"06105","99999"," ","Trinity CA","99999",13786,1 
"06107","47300","Metro","Tulare CA","Visalia-Porterville, CA Metropolitan Statistical Area",442179,1 
"06109","38020","Micro","Tuolumne CA","Phoenix Lake-Cedar Ridge, CA Micropolitan Statistical Area",55365,1 
"06111","37100","Metro","Ventura CA","Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",823318,1 
"06113","40900","Metro","Yolo CA","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",200849,1 
"06115","49700","Metro","Yuba CA","Yuba City, CA Metropolitan Statistical Area",72155,1 
"08001","19740","Metro","Adams CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area",441603,1 
"08003","99999"," ","Alamosa CO","99999",15445,1 
"08005","19740","Metro","Arapahoe CO","Denver-Aurora-Broomfield, CO Metropolitan Statistical Area",572003,1 
"08007","99999"," ","Archuleta CO","99999",12084,1 
"08009","99999"," ","Baca CO","99999",3788,1 
"08011","99999"," ","Bent CO","99999",6499,1 
